features	pron	subj	arity
▯ gargles _BIAS _RAKU_la _2_RAKU_'ala _ARITY_1	hó	sA	1
▯ is a ā aa lava _BIAS _RAKU_ze _2_RAKU_loeze _ARITY_1	máq	sI	1
▯ is a father dad daddy papa _BIAS _RAKU_ba _2_RAKU_aba _ARITY_1	hó	sI	1
▯ is an abacus _BIAS _RAKU_ko _2_RAKU_bako _ARITY_1	máq	sI	1
▯ pertains to abaza culture _BIAS _RAKU_za _2_RAKU_baza _ARITY_1 _CAPS	tá	sF	1
▯ is the abaza language _BIAS _RAKU_zu _2_RAKU_zazu _ARITY_1 _CAPS	hóq	sI	1
▯ is a guaraní language _BIAS _RAKU_zu _2_RAKU_bazu _ARITY_1	hóq	sI	1
▯ is a fir tree genus abies _BIAS _RAKU_bıe _2_RAKU_abıe _ARITY_1	máq	sI	1
▯ is a weeb obsessively into ▯ _BIAS _RAKU_bu _2_RAKU_abu _ARITY_2	hó	sI	2
▯ is an abugida _BIAS _RAKU_da _2_RAKU_gıda _ARITY_1	hóq	sI	1
▯ pertains to the culture of artsakh artsakh _BIAS _RAKU_kı _2_RAKU_cakı _ARITY_1 _CAPS	tá	sF	1
▯ is the country artsakh artsakh _BIAS _RAKU_gua _2_RAKU_kıgua _ARITY_1 _CAPS	máq	sI	1
▯ experiences acerbic qualia ▯ sharp bitter sour _BIAS _RAKU_ce _2_RAKU_ace _ARITY_2	hó	sI	2
▯ is an acid _BIAS _RAKU_cı _2_RAKU_acı _ARITY_1	máq	sI	1
▯ is acidic _BIAS _RAKU_'aı _2_RAKU_cı'aı _ARITY_1	tá	sF	1
▯ is antacid _BIAS _RAKU_boq _2_RAKU_cıboq _ARITY_1	máq	sI	1
▯ is oxygen _BIAS _RAKU_jeq _2_RAKU_cıjeq _ARITY_1	máq	sI	1
▯ begins starts to satisfy property ▯ _BIAS _RAKU_che _2_RAKU_ache _ARITY_2	hó	sI	2
▯ pokes ▯ with their finger e g to get their attention _BIAS _RAKU_cheı _2_RAKU_acheı _ARITY_2	hó	sA	2
▯ does ▯ from the beginning from scratch _BIAS _RAKU_tao _2_RAKU_chetao _ARITY_2	hó	sA	2
▯ is fun _BIAS _RAKU_chı _2_RAKU_achı _ARITY_1	tá	sF	1
▯ is a helminth parasitic worm _BIAS _RAKU_nuq _2_RAKU_chonuq _ARITY_1	hó	sI	1
▯ uses up depletes consumes ▯ _BIAS _RAKU_choq _2_RAKU_achoq _ARITY_2	hó	sI	2
▯ is efficient making good use of resource ▯ _BIAS _RAKU_gı _2_RAKU_choqgı _ARITY_2	tá	sS	2
▯ saves on ▯ resource not used up _BIAS _RAKU_rıeq _2_RAKU_choqrıeq _ARITY_2	hó	sI	2
▯ conserves stretches out rations husbands resource ▯ _BIAS _RAKU_sı _2_RAKU_choqsı _ARITY_2	hó	sA	2
▯ has been used up has run out _BIAS _RAKU_te _2_RAKU_choqte _ARITY_1	tá	sI	1
▯ sneezes _BIAS _RAKU_chu _2_RAKU_achu _ARITY_1	hó	sI	1
▯ blesses ▯ as they ve sneezed _BIAS _RAKU_cua _2_RAKU_chucua _ARITY_2	hó	sA	2
▯ is let down upon the realization that they won t in fact sneeze after they ve already been gearing up to in anticipation of doing so _BIAS _RAKU_che _2_RAKU_huche _ARITY_1	hó	sI	1
▯ feels despair feels like nooooo ada _BIAS _RAKU_dam _2_RAKU_adam _ARITY_1	hó	sI	1
▯ is fennel _BIAS _RAKU_so _2_RAKU_daso _ARITY_1	máq	sI	1
▯ is fat the substance _BIAS _RAKU_dı _2_RAKU_adı _ARITY_1	máq	sI	1
▯ pertains to adyghe culture _BIAS _RAKU_ga _2_RAKU_dıga _ARITY_1 _CAPS	tá	sF	1
▯ is the adyghe language _BIAS _RAKU_zu _2_RAKU_gazu _ARITY_1 _CAPS	hóq	sI	1
▯ pertains to the culture of afghanistan islamic republic of afghanistan _BIAS _RAKU_gaq _2_RAKU_fagaq _ARITY_1 _CAPS	tá	sF	1
▯ is the country afghanistan islamic republic of afghanistan _BIAS _RAKU_gua _2_RAKU_gaqgua _ARITY_1 _CAPS	máq	sI	1
▯ is africa _BIAS _RAKU_rı _2_RAKU_farı _ARITY_1 _CAPS	máq	sI	1
▯ is the afrikaans language _BIAS _RAKU_zu _2_RAKU_kaqzu _ARITY_1 _CAPS	hóq	sI	1
▯ is a pea _BIAS _RAKU_na _2_RAKU_funa _ARITY_1	máq	sI	1
▯ is a swallowtail butterfly _BIAS _RAKU_cho _2_RAKU_hacho _ARITY_1	hó	sI	1
▯ pertains to the culture of argentina argentine republic _BIAS _RAKU_na _2_RAKU_tına _ARITY_1 _CAPS	tá	sF	1
▯ is the country argentina argentine republic _BIAS _RAKU_gua _2_RAKU_nagua _ARITY_1 _CAPS	máq	sI	1
▯ is a public gathering meeting space ▯ is somewhere people tend to hang out at such as a café a public park or the area surrounding a coffee machine _BIAS _RAKU_ra _2_RAKU_gora _ARITY_1	máq	sI	1
▯ is an exaggerated anecdote personal account frequently told as a means to make one appear interesting _BIAS _RAKU_lua _2_RAKU_ralua _ARITY_1	hóq	sE	1
▯ has agoraphobia _BIAS _RAKU_tea _2_RAKU_ratea _ARITY_1	hó	sI	1
▯ is an ahoge _BIAS _RAKU_ge _2_RAKU_hoge _ARITY_1	máq	sI	1
▯ welcomes ▯ to ▯ _BIAS _RAKU_hoı _2_RAKU_ahoı _ARITY_3	hó	sA	3
